# Except the first column, a single column contains the mean daily discharge timeseries for a single basin and the column name holds the basin ID.
# Unit for discharge values is m^3.
2012-02-24,256685.875,6420.46875,387879.375,199384.6875,9428.983398,51605.324219,979756
2012-02-25,272747.6875,7307.268066,413263.59375,216529.734375,11583.374023,62126.101563,1159452.125
2012-02-26,271277.5625,7326.311523,413483.5625,216738.953125,11791.436523,64239.75,1146549.25
2012-02-27,263977.59375,6902.868652,396676.8125,200212.046875,11066.253906,61202.28125,1053206.625
2012-02-28,265333.96875,7353.391113,404457.28125,197939.609375,11253.806641,61918.949219,1112037
2012-02-29,273476.25,8009.495605,412598.75,213402.828125,12361.693359,63598.648438,1156538.75
2012-03-01,283996.0625,8148.057129,434230.46875,206728.640625,13274.952148,64264.351563,1066101.375
2012-03-02,293377.5,8180.424316,434504.71875,197036.328125,14377.889648,61331.550781,1057556.375
2012-03-03,285685.75,8083.284668,381860.21875,180486.078125,14282.197266,56770.199219,981190.5
2012-03-04,286964.46875,8060.628906,385926.34375,180253.8125,14184.133789,54053.25,988566.3125
2012-03-05,311327.75,11661.694336,441136.15625,257868.71875,15920.082031,66613.203125,1304335.625
2012-03-06,278318,12669.136719,420324.0625,227717.59375,16926.335938,67897.648438,1050399.125
2012-03-07,271217.65625,11743.351563,496171.6875,233499.03125,15451.186523,66375.296875,1094619.375
2012-03-08,286231.1875,12378.264648,513309.46875,325639,16070.305664,73621.953125,1595722.25
2012-03-09,264001.625,10962.088867,428551.84375,256668.421875,14235.313477,67400.703125,1229413.5
2012-03-10,261619.203125,10909.301758,435934.4375,232301.25,14109.353516,66440.039063,1176980.625
2012-03-11,249658.515625,10541.773438,407091.125,206655.28125,12787.757813,60118.199219,1102703.375
2012-03-12,237582.09375,9581.032227,405323.5,181256.0625,11087.368164,52678.5,1062897.625
2012-03-13,243857.109375,8400.541016,425873.875,161928.5,9573.97168,46701.148438,1014270.5625
2012-03-14,234402.0625,7675.021484,422033.15625,146219.234375,8457.303711,41983.949219,999687.9375
2012-03-15,222645.8125,7107.717773,430856.375,136188.609375,7270.855957,38684.324219,912676.0625
2012-03-16,218280.15625,6628.965332,426331.78125,127878.601563,6005.194336,36498.632813,865192.9375
2012-03-17,211344.84375,6291.234863,389119.28125,124659.367188,6181.887207,34400.925781,826520.875
2012-03-18,211035.671875,6391.447754,377813.9375,128866.710938,6339.645996,33590.8125,813385.4375
2012-03-19,203493.890625,5796.663086,417012.03125,118089.765625,5354.98291,30509.025391,800306.3125
2012-03-20,186374.484375,5340.100586,422229.0625,127289.523438,4719.244629,28124.699219,772485.375
2012-03-21,183462.046875,5146.240723,428601.78125,126364.835938,4374.552246,26626.5,763007.25
2012-03-22,182278.359375,4966.733887,433348.40625,126364.835938,4105.880371,25695.224609,751301.75
2012-03-23,175050.890625,4845.932129,426119.84375,126364.835938,3920.918213,25053.675781,736361.125
2012-03-24,172833.296875,4647.867676,378164.34375,126364.835938,3780.641846,24097.199219,671760.9375
2012-03-25,172001.6875,4454.624512,349503.8125,126364.835938,3347.371582,22376.775391,648787.4375
2012-03-26,161801.390625,4156.250977,373861.0625,126364.835938,3235.077881,21296.775391,651370.5625
2012-03-27,125230.492188,4104.294922,377484.6875,127651.507813,3077.500732,20715,640607.5
2012-03-28,108247.5,3976.322266,392227.28125,133631.828125,3125.778076,19759.699219,699560.375
2012-03-29,95758.648438,4031.132324,390245.75,127575.804688,2971.075684,19822.050781,667315.1875
2012-03-30,86572.796875,4193.914063,367316.03125,128418.59375,3015.071777,19933.339844,708870.5625
2012-03-31,86572.796875,4103.17041,345449.6875,126364.835938,2952.716064,19516.742188,634611.25
2012-04-01,86572.796875,3859.515381,337538.6875,126364.835938,2783.686768,18312.708984,598157.125
2012-04-02,79740.882813,3712.608154,337467.5625,126364.835938,2762.008057,17396.101563,613653.5
2012-04-03,74649.601563,3720.842529,311064.3125,126364.835938,2770.452393,15804.101563,576546.625
2012-04-04,74649.601563,4292.210938,343093.78125,131340.59375,2975.385498,16752.300781,578886
2012-04-05,74649.601563,3679.029297,345626.0625,123997.59375,2715.670898,15127.5,726036.4375
2012-04-06,74649.601563,3234.301758,292711.03125,119263.585938,2547.675293,13847.599609,544432.5
2012-04-07,74649.601563,3479.331299,340741.1875,131684.046875,2672.766602,14731.75,636395.5
2012-04-08,74649.601563,3114.99707,309027.46875,127045.921875,2519.330811,12931.831055,554955
2012-04-09,79149.921875,4768.961914,428424.3125,189507.09375,3924.597168,21248.849609,898390.375
2012-04-10,163967.328125,6867.885254,425620.59375,208995.921875,6732.26416,33197.40625,1234331.5
2012-04-11,164343.171875,5660.430664,375881.125,160398.640625,5114.056641,27952.275391,962808.75
2012-04-12,176714.09375,5038.456543,351838.3125,149593.140625,4748.921875,26503.5,865534.3125
2012-04-13,179971.1875,4930.508301,365349.0625,140013.0625,4594.091309,26182.949219,802521.3125
2012-04-14,180038.25,4772.495117,326804.96875,135706.046875,4441.395996,25470.349609,785589.1875
2012-04-15,179971.1875,4541.334473,315590.21875,140467.40625,4241.512207,24756.994141,744853
2012-04-16,179763.296875,4253.633789,320440,131208.90625,3911.928711,23424.375,717158.5625
2012-04-17,192602.828125,4111.122559,332016.15625,126897.890625,3732.460205,22893.300781,705328.9375
2012-04-18,208687.953125,4574.73584,335825.5,148118.515625,4379.15918,24159.609375,746027.5625
2012-04-19,233186.0625,4011.907471,313661.625,146553.0625,4736.115723,24543.900391,756914.375
2012-04-20,256876.921875,2607.444824,311254.8125,135723.703125,4238.581055,22760.386719,681856.875
2012-04-21,228496.359375,3791.378418,381660.09375,152385.046875,5135.825195,23720.349609,885176.4375
2012-04-22,237761.640625,3930.69043,406464.3125,155628.296875,7223.896973,27808.949219,1027562.5
2012-04-23,235946.21875,3985.941895,349055.03125,137992.46875,8773.005859,28846.162109,827028.375
2012-04-24,236187.984375,5302.810547,391422.15625,146442.796875,14956.74707,31997.099609,863458.5
2012-04-25,263248.625,7666.968262,415084.46875,179327.828125,11435.429688,41324.792969,1132584.125
2012-04-26,312228.96875,16104.707031,515322.1875,212074.125,19367.503906,60904.648438,1412925.25
2012-04-27,300137.65625,16879.041016,483033.71875,206608.78125,22350.119141,69792,1242399.25
2012-04-28,300178.15625,14001.390625,572259.25,269000.1875,22400.75,73684.953125,1479151.25
